"Title","Artist","ConstituentID","ArtistBio","Nationality","BeginDate","EndDate","Gender","Date","Medium","Dimensions","CreditLine","AccessionNumber","Classification","Department","DateAcquired","Cataloged","ObjectID","URL","ThumbnailURL","Circumference (cm)","Depth (cm)","Diameter (cm)","Height (cm)","Length (cm)","Weight (kg)","Width (cm)","Seat Height (cm)","Duration (sec.)"
"Plate 8 (folio 7) from YVETTE GUILBERT (proof before text)","Henri de Toulouse-Lautrec","5910","(French, 1864–1901)","(French)","(1864)","(1901)","(Male)","1894",NA,"irreg composition  11 7/8 x 8 1/8"" (30.2 x 20.6 cm)","Vincent D'Aquila and Harry Soviak Bequest","490.1992.8","Illustrated Book","Drawings & Prints",1992-11-04,"N",18072,NA,NA,NA,NA,NA,30.2,NA,NA,20.6,NA,NA
"Plate (page 161) from LES JUIFVES","Léon Zack","6532","(French, 1892–1980)","(French)","(1892)","(1980)","(Male)","1948","Lithograph, printed in color","irreg. composition  12 9/16 x 9 3/4"" (32 x 24.7 cm)","The Louis E. Stern Collection","1096.1964.A27","Illustrated Book","Drawings & Prints",1964-10-06,"N",31586,NA,NA,NA,NA,NA,32,NA,NA,24.7,NA,NA
"First state of The King and the Queen from The Large Glass and Related Works, Vol. II","Marcel Duchamp","1634","(American, born France. 1887–1968)","(American)","(1887)","(1968)","(Male)","1968","Etching from the supplementary suite of eighteen etchings (seven with aquatint)","plate: 13 11/16 x 9 5/16"" (34.7 x 23.6cm); sheet: 20 x 13"" (50.8 x 33 cm)","John B. Turner Fund","489.1969.B15","Illustrated Book","Drawings & Prints",1969-05-22,"N",18021,NA,NA,NA,NA,NA,34.7,NA,NA,23.6,NA,NA
"Plate (folio 4) from CERCLITUDE","Pierre Alechinsky","107","(Belgian, born 1927)","(Belgian)","(1927)","(0)","(Male)","1973-1974",NA,"plate  11 5/8 x 7 13/16"" (29.6 x 19.8 cm)","Gift of the artist","657.1978.2","Illustrated Book","Drawings & Prints",1978-10-17,"N",19956,NA,NA,NA,NA,NA,29.6,NA,NA,19.8,NA,NA
"Attempt to Raise Hell","Dennis Oppenheim","4415","(American, 1938–2011)","(American)","(1938)","(2011)","(Male)","1974","Chrome-plated iron bell, seated figure with cast aluminum head and hands, cloth and felt suit, and wood base with motor and timer","Overall 30 7/8 x 47 5/8 x 35 7/8"" (78.4 x 121 x 91.1 cm)","Nina and Gordon Bunshaft Bequest Fund","1145.2001.a-c","Installation","Painting & Sculpture",2001-02-12,"Y",81975,"http://www.moma.org/collection/works/81975",NA,NA,91.1,NA,78.4,NA,NA,121,NA,NA
"Joseph Cantor House Project, Indianapolis, Indiana, Aerial perspective","Ludwig Mies van der Rohe","7166","(American, born Germany. 1886–1969)","(American)","(1886)","(1969)","(Male)","1946-1947","Pencil on note paper","5 7/8 x 8 1/4"" (14.9 x 21 cm)","Mies van der Rohe Archive, gift of the architect
","MR4606.117","Mies van der Rohe Archive","Architecture & Design",NA,"Y",120828,"http://www.moma.org/collection/works/120828","http://www.moma.org/media/W1siZiIsIjE0Mjg1NCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=e4b29e47f27ddc05",NA,NA,NA,14.9225298451,NA,NA,20.9550419101,NA,NA
"Installation Drawing for Nr. 2","Yutaka Matsuzawa","32795","(Japanese, 1922–2006)","(Japanese)","(1922)","(2006)","(Male)","n.d.","Ink on transparentized paper","11 3/4 x 8 1/4"" (29.8 x 21 cm)","Art & Project/Depot VBVR Gift","540.2007","Drawing","Drawings & Prints",2007-10-09,"Y",109632,"http://www.moma.org/collection/works/109632","http://www.moma.org/media/W1siZiIsIjE0MDUyNyJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=020f706d30c8a9ef",NA,NA,NA,29.8450596901,NA,NA,21,NA,NA
"Rue du Maure","Eugène Atget","229","(French, 1857–1927)","(French)","(1857)","(1927)","(Male)","1908",NA,NA,"Abbott-Levy Collection. Partial gift of Shirley C. Burden","1.1969.4311","Photograph","Photography",1968-03-06,"N",42559,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Tuolumne Meadows, Yosemite National Park, California","Ansel Adams","60","(American, 1902–1984)","(American)","(1902)","(1984)","(Male)","c. 1941","Gelatin silver print, printed 1963","9 3/16 × 7 5/16"" (23.4 × 18.6 cm)","Gift of David H. McAlpin","1710.1968","Photograph","Photography",1968-05-01,"N",58293,NA,NA,NA,NA,NA,23.4,NA,NA,18.6,NA,NA
"Self-Portrait","Jules Pascin","4514","(American, born Bulgaria. 1885–1930)","(American)","(1885)","(1930)","(Male)","(1927-28)","Carbon transfer","18 7/8 x 11 7/8"" (47.9 x 30.4 cm)","Gift of Abby Aldrich Rockefeller","194.1940","Drawing","Drawings & Prints",1940-04-05,"Y",35197,"http://www.moma.org/collection/works/35197",NA,NA,NA,NA,47.9,NA,NA,30.2,NA,NA
"Plate (page 69) from Mille Regrets (A Thousand Regrets)","Christian Bérard","486","(French, 1902–1949)","(French)","(1902)","(1949)","(Male)","1947","One from an illustrated book with fifty-five collotype and pochoir reproductions and a supplementary suite of nineteen collotype and pochoir reproductions","composition (irreg.): 7 1/16 × 6 5/8"" (18 × 16.8 cm); page (approx.): 11 × 8 11/16"" (28 × 22 cm)","The Louis E. Stern Collection","675.1964.A16","Illustrated Book","Drawings & Prints",1964-10-06,"Y",416393,"http://www.moma.org/collection/works/416393","http://www.moma.org/media/W1siZiIsIjE3MTU4NCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=bb1123b88e2bf2a7",NA,NA,NA,18,NA,NA,16.8,NA,NA
"Photographers Prefer Shell, You Can Be Sure of Shell","Curtis Moffat","4043","(British, 1887–1949)","(British)","(1887)","(1949)","(Male)","Unknown","Lithograph","30 x 45"" (76.2 x 114.3 cm)","Gift of Shell - Mex B P","382.1937","Design","Architecture & Design",1937-11-22,"Y",6780,"http://www.moma.org/collection/works/6780","http://www.moma.org/media/W1siZiIsIjU5NDMiXSxbInAiLCJjb252ZXJ0IiwiLXJlc2l6ZSAzMDB4MzAwXHUwMDNlIl1d.jpg?sha=4a396e63c32ffc25",NA,NA,NA,76.2,NA,NA,114.3,NA,NA
"The Most Beautiful Women in the World (for Parkett no. 37)","Charles Ray","7049","(American, born 1953)","(American)","(1953)","(0)","(Male)","1993","Nine chromogenic color prints","composition  3 15/16 x 5 7/8"" (10 x 15 cm)","Riva Castleman Endowment Fund, Lily Auchincloss Fund, and Gift of Parkett","109.1998.1a-i","Print","Drawings & Prints",1998-03-05,"Y",61928,"http://www.moma.org/collection/works/61928","http://www.moma.org/media/W1siZiIsIjE4OTU2NSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=c1f763420cac1b80",NA,NA,NA,10,NA,NA,15,NA,NA
"Head of a Man","Lucian Freud","1993","(British, born Germany. 1922–2011)","(British)","(1922)","(2011)","(Male)","1986","Charcoal on paper","25 3/8 x 18 5/8"" (64.4 x 47.3 cm)
","Gift of Agnes Gund","36.1988","Drawing","Drawings & Prints",1988-02-19,"Y",33435,"http://www.moma.org/collection/works/33435","http://www.moma.org/media/W1siZiIsIjEyMDIzNyJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=8730ad5b1812586a",NA,NA,NA,64.4,NA,NA,47.3,NA,NA
"Triptychos Post Historicus","Braco Dimitrijević","28358","(Bosnian, born 1948)","(Bosnian)","(1948)","(0)","(Male)","1976","Color photograph, frame, and wood","Frame 25 1/2 x 35 3/16"" (64.7 x 89.3 cm), wood 33 7/16 x 1 7/16 x 11/16"" (85 x 3.6 x 1.7 cm)","Partial gift of the Daled Collection and partial purchase through the generosity of Maja Oeri and Hans Bodenmann, Sue and Edgar Wachenheim III, Agnes Gund, Marlene Hess and James D. Zirin, Marie-Josée and Henry R. Kravis, and Jerry I. Speyer and Katherine G. Farley","625.2011.a-b","Photograph","Painting & Sculpture",2011-05-12,"Y",147028,"http://www.moma.org/collection/works/147028",NA,NA,0,NA,64.7,NA,NA,89.3,NA,NA
"American Express","Christian Holstad","28663","(American, born 1972)","(American)","(1972)","(0)","(Male)","2004","Lithograph",NA,"Gift of Harvey S. Shipley Miller","557.2005","Print","Drawings & Prints",2005-06-02,"Y",98885,"http://www.moma.org/collection/works/98885","http://www.moma.org/media/W1siZiIsIjIxNTI4NSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=1d23c8ed6c5fa99d",NA,NA,NA,NA,NA,NA,NA,NA,NA
"The Mirror of Genoveva from S.M.S. No. 2","Meret Oppenheim","4416","(Swiss, 1913–1985)","(Swiss)","(1913)","(1985)","(Female)","1968","Offset lithograph with embossing","sheet: 9 15/16 x 6 3/4"" (25.3 x 17.2cm)","Gift of Carol O. Selle","460.1977.2h","Print","Drawings & Prints",1977-11-10,"Y",69487,"http://www.moma.org/collection/works/69487","http://www.moma.org/media/W1siZiIsIjMwNjYxNCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=807f62ee4d35ab22",NA,NA,NA,25.3,NA,NA,17.2,NA,NA
"GALATEA NUDE BEFORE A FOUNTAIN (in-text plate, page 93) from LES ÉGLOGUES","Aristide Maillol","3697","(French, 1861–1944)","(French)","(1861)","(1944)","(Male)","1912-1926",NA,"composition  4 3/8 x 4"" (11.1 x 10.2 cm)","The Louis E. Stern Collection","899.1964.39","Illustrated Book","Drawings & Prints",1964-10-06,"N",27499,NA,NA,NA,NA,NA,11.1,NA,NA,10.2,NA,NA
"Mechanical for poster of Lenny Bruce at the Living Theatre","George Maciunas, Jonas Mekas","21398, 7930","(American, born Lithuania. 1931–1978) (Lithuanian, born 1922)","(American) (Lithuanian)","(1931) (1922)","(1978) (0)","(Male) (Male)","1967",NA,NA,"The Gilbert and Lila Silverman Fluxus Collection Gift","FC3191","(not assigned)","Fluxus Collection",2008-10-08,"N",136929,NA,NA,NA,0,NA,0,NA,NA,0,NA,NA
"Ecnud","William T. Wiley","6370","(American, born 1937)","(American)","(1937)","(0)","(Male)","1975","Lithograph",NA,"Gift of Landfall Press","280.1997","Print","Drawings & Prints",1997-05-28,"Y",65938,"http://www.moma.org/collection/works/65938","http://www.moma.org/media/W1siZiIsIjQ4NDE5MyJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=d1fc524497585e0f",NA,NA,NA,NA,NA,NA,NA,NA,NA
"U.S. Surpasses All Nazi Genocide Records!","George Maciunas","21398","(American, born Lithuania. 1931–1978)","(American)","(1931)","(1978)","(Male)","1966","2 copies (CONFIRM)",NA,"The Gilbert and Lila Silverman Fluxus Collection Gift","FC3261","(not assigned)","Fluxus Collection",2008-10-08,"N",136999,NA,NA,NA,0,NA,0,NA,NA,0,NA,NA
"Plate (page 367) from Les Petites Fleurs de St. François (The Little Flowers of St. Francis)","Émile Bernard","511","(French, 1868–1941)","(French)","(1868)","(1941)","(Male)","1928","One from an illustrated book with 329 woodcuts","composition (irreg.): 11 5/8 × 9 7/16"" (29.5 × 24 cm); page: 12 13/16 × 9 13/16"" (32.5 × 25 cm)","The Louis E. Stern Collection","677.1964.283","Illustrated Book","Drawings & Prints",1964-10-06,"Y",20512,"http://www.moma.org/collection/works/20512",NA,NA,NA,NA,29.5,NA,NA,24,NA,NA
"Two Nude Women (Les Deux femmes nues)","Pablo Picasso","4609","(Spanish, 1881–1973)","(Spanish)","(1881)","(1973)","(Male)","1946","Lithograph","composition: 10 5/8 x 14 1/4"" (27 x 36.2 cm); sheet: 12 13/16 x 17 7/16"" (32.5 x 44.3 cm)","Riva Castleman Endowment Fund","565.1997","Print","Drawings & Prints",1997-11-11,"Y",71214,"http://www.moma.org/collection/works/71214","http://www.moma.org/media/W1siZiIsIjEwMDg0MSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=7eb3857b3a5555db",NA,NA,NA,26.9876,NA,NA,36.1951,NA,NA
"Untitled from Kracked","Ed Moses","4121","(American, 1926–2018)","(American)","(1926)","(2018)","(Male)","1993","One from a portfolio of eight etching and aquatints with chine collé","plate: 7 7/8 × 5 7/8"" (20 × 15 cm); sheet: 13 3/4 × 12 1/16"" (35 × 30.6 cm)","Gift of Jacob and Yael Samuel in honor of Victor Tenetta","1686.2015.6","Print","Drawings & Prints",2015-10-27,"Y",199671,"http://www.moma.org/collection/works/199671","http://www.moma.org/media/W1siZiIsIjM0MDQzNCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=7db93a5f2dab19d3",NA,NA,NA,20,NA,NA,15,NA,NA
"Piano Stool (for Parkett no. 97)","Andrea Büttner","49077","(German, born 1972)","(German)","(1972)","(0)","(Female)","2015","Multiple of painted beech wood with pine handles and handwoven silk and wool","18 1/8 × 24 3/4 × 13 1/8"" (46 × 62.9 × 33.3 cm)","The Abby Aldrich Rockefeller Endowment for Prints","580.2016","Multiple","Drawings & Prints",2016-06-08,"Y",204668,"http://www.moma.org/collection/works/204668","http://www.moma.org/media/W1siZiIsIjM5NzA3MSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=6750b16e74ed6d7f",NA,33.3375666751,NA,46.0375920752,NA,NA,62.8651257303,NA,NA
"The 40's","Robert Motherwell","4126","(American, 1915–1991)","(American)","(1915)","(1991)","(Male)","(1977)","Aquatint","plate  5 7/8 x 7 3/4"" (14.9 x 19.7 cm)
sheet  23 13/16 x 17 7/8"" (60.5 x 45.4 cm)","Gift of the artist and Brooke Alexander, Inc.","438.1978","Print","Drawings & Prints",1978-05-22,"Y",69136,"http://www.moma.org/collection/works/69136","http://www.moma.org/media/W1siZiIsIjIxODU5MiJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=a7b7254650c72d00",NA,NA,NA,14.9,NA,NA,19.7,NA,NA
"Pictorial initial D (folio 5 verso) from LE BESTIAIRE","Roger Chastel","1081","(French, 1897–1981)","(French)","(1897)","(1981)","(Male)","1948","Soft ground etching, printed in color","irreg. composition  3 9/16 x 2 15/16"" (9.1 x 7.5 cm)","The Louis E. Stern Collection","762.1964.1","Illustrated Book","Drawings & Prints",1964-10-06,"N",23321,NA,NA,NA,NA,NA,9.1,NA,NA,7.5,NA,NA
"David Wojnarowicz","Peter Hujar","7159","(American, 1934–1987)","(American)","(1934)","(1987)","(Male)","1981","Gelatin silver print","14 11/16 × 14 3/4"" (37.3 × 37.4 cm)","Gift of David Wojnarowicz","345.1992","Photograph","Photography",1992-06-18,"Y",51370,"http://www.moma.org/collection/works/51370","http://www.moma.org/media/W1siZiIsIjE3MjE4NCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=c5e02e43c3c3fb66",NA,NA,NA,37.3,NA,NA,37.4,NA,NA
"Untitled","Marek Piasecki","38943","(Polish, 1935–2011)","(Polish)","(1935)","(2011)","(Male)","c. 1960","Gelatin silver print","7 1/16 × 9 7/16"" (17.9 × 24 cm)","Acquired through the generosity of Richard E. and Laura Salomon","472.2011","Photograph","Photography",2011-05-18,"Y",145021,"http://www.moma.org/collection/works/145021","http://www.moma.org/media/W1siZiIsIjIxODYxOSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=ea8122b6da1d441c",NA,NA,NA,17.9,NA,NA,24,NA,NA
"Untitled (Dual Ellipsis)","Iran do Espírito Santo","22683","(Brazilian, born 1963)","(Brazilian)","(1963)","(0)","(Male)","1998","Gouache and pencil on paper","11 x 13 7/8"" (27.9 x 35.2 cm)","Purchase","2410.2001","Drawing","Drawings & Prints",2001-10-11,"Y",82256,"http://www.moma.org/collection/works/82256","http://www.moma.org/media/W1siZiIsIjk3MTkwIl0sWyJwIiwiY29udmVydCIsIi1yZXNpemUgMzAweDMwMFx1MDAzZSJdXQ.jpg?sha=476f71c7bbc1a8aa",NA,NA,NA,27.9401,NA,NA,35.2426,NA,NA
"Meccano: or L'Analyse matricielle du langage","Enrico Baj","292","(Italian, 1924–2003)","(Italian)","(1924)","(2003)","(Male)","1966","Illustrated book with seventeen collagraphs and supplementary unbound screenprint","page  7 11/16 x 20 7/8"" (19 x 53 cm)
Prints: various dimensions.","Monroe Wheeler Fund","322.1967.1-18","Illustrated Book","Drawings & Prints",1967-04-11,"N",15609,NA,NA,NA,NA,NA,19,NA,NA,53,NA,NA
"Zaiach'ia misteriia","Aleksei Baev","23770",NA,"()","(0)","(0)","(Male)","1922",NA,"Page: 13 x 9 15/16"" (33 x 25.2 cm)","Gift of The Judith Rothschild Foundation (Boris Kerdimun Archive)","669.2001","Illustrated Book","Drawings & Prints",2001-01-24,"N",20177,NA,NA,NA,NA,NA,33,NA,NA,25.2,NA,NA
"Coin du Pont-Neuf","Eugène Atget","229","(French, 1857–1927)","(French)","(1857)","(1927)","(Male)","1898-99","Gelatin silver printing-out-paper print","Approx. 7 1/16 × 8 9/16"" (18 × 21.8 cm)","Abbott-Levy Collection. Partial gift of Shirley C. Burden","1.1969.3512","Photograph","Photography",1968-03-06,"Y",41672,"http://www.moma.org/collection/works/41672","http://www.moma.org/media/W1siZiIsIjI4MzgyMiJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=424c3352ba4fe2f5",NA,NA,NA,NA,NA,NA,NA,NA,NA
"The Angler (Der Angler)","Paul Klee","3130","(German, born Switzerland. 1879–1940)","(German)","(1879)","(1940)","(Male)","1921","Oil transfer drawing, watercolor, and ink on paper with watercolor and ink borders on board","19 7/8 x 12 1/2"" (50.5 x 31.8 cm)","John S. Newberry Collection","64.1961","Drawing","Drawings & Prints",1961-02-07,"Y",33587,"http://www.moma.org/collection/works/33587","http://www.moma.org/media/W1siZiIsIjEzNTU2MiJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=e7f9c84bd7ee346c",NA,NA,NA,47.6,NA,NA,31.2,NA,NA
"Tubular-steel upholstered armchair, LR 36-103B (Perspectives. Backrest variant.)","Lilly Reich","8059","(German, 1885–1947)","(German)","(1885)","(1947)","(Female)","1938","Pencil on tracing paper","32 1/2 x 48 1/2"" (82.6 x 123.2 cm)","Lilly Reich Collection, Mies van der Rohe Archive","R38.3","Mies van der Rohe Archive","Architecture & Design",NA,"N",149775,NA,NA,NA,NA,NA,82.5501651003,NA,NA,123.1902463805,NA,NA
"Swissair - Japan","Emil Schulthess, Georg Gerster, Hans Frei","44206, 44207, 44208","(Swiss, 1913–1996) (Swiss, born 1928) (Swiss)","(Swiss) (Swiss) (Swiss)","(1913) (1928) (0)","(1996) (0) (0)","(Male) (Male) (Male)","c.1971","Lithograph","40 1/8 x 25 1/8"" (101.9 x 63.8 cm)","Anonymous gift","1580.2015","Design","Architecture & Design",2015-10-19,"Y",196283,"http://www.moma.org/collection/works/196283",NA,NA,NA,NA,101.9177038354,NA,NA,63.8176276353,NA,NA
"""Instruction Drawing for a Structure in the Desert""","Paolo Soleri","8101","(American, born Italy. 1919–2013)","(American)","(1919)","(2013)","(Male)","1977","Ballpoint pen on paper","11 × 8 1/2"" (27.9 × 21.6 cm)","Gift of the Gilbert B. and Lila Silverman Instruction Drawing Collection, Detroit","TR16157.673","Drawing","Drawings & Prints",2018-11-05,"N",289413,NA,NA,NA,NA,NA,27.9400558801,NA,NA,21.5900431801,NA,NA
"<<GRÉ=GLÉ>> N° 142 from Alphabet Bété","Frédéric Bruly Bouabré","30876","(Ivorian, 1923–2014)","(Ivorian)","(1923)","(2014)","(Male)","1991","Colored pencil, pencil, and ballpoint pen on board","3 7/8 × 5 7/8"" (9.8 × 14.9 cm)","CAAC - The Pigozzi Collection. Gift of Jean Pigozzi","104.2019.147","Drawing","Drawings & Prints",2019-04-04,"Y",299166,"http://www.moma.org/collection/works/299166",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Drownin on Dry Land from Visual Poems","John Edward Dowell","1604","(American, born 1941)","(American)","(1941)","(0)","(Male)","1970, published 1971","Lithograph from a portfolio of eight lithographs and one ink drawing","composition: 19 11/16 × 15 1/16"" (50 × 38.3 cm); sheet: 20 × 15 1/16"" (50.8 × 38.3 cm)","John B. Turner Fund","445.1971.4","Print","Drawings & Prints",1971-05-18,"Y",69257,"http://www.moma.org/collection/works/69257","http://www.moma.org/media/W1siZiIsIjE5MDMyMSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=b18c24c0cada7270",NA,NA,NA,50,NA,NA,38.3,NA,NA
"Maximal Gyre V","Arnaldo Pomodoro","4676","(Italian, born 1926)","(Italian)","(1926)","(0)","(Male)","1968","Lithograph","composition  30 1/8 x 22 1/2"" (76.5 x 57.1 cm)
sheet  30 1/8 x 22 1/2"" (76.5 x 57.1 cm)","Gift of the artist and Collector's Press","303.1969","Print","Drawings & Prints",1969-04-16,"Y",66483,"http://www.moma.org/collection/works/66483","http://www.moma.org/media/W1siZiIsIjI3NjM4OSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=2c5a9bc0f5242715",NA,NA,NA,76.5,NA,NA,57.1,NA,NA
"Dizzy Gillespie & Montmartre Supports the Jazz Exchange","Per Arnoldi","5","(Danish, born 1941)","(Danish)","(1941)","(0)","(Male)","1973-79","Silkscreen","39 1/4 x 27 9/16"" (99.7 x 70.0 cm) .","Gift of the designer","249.1980","Design","Architecture & Design",1980-01-08,"Y",5837,"http://www.moma.org/collection/works/5837",NA,NA,NA,NA,99.7,NA,NA,70,NA,NA
"Building a Broken Mousetrap","Jem Cohen","32208","(American, born Afghanistan, born 1962)","(American)","(1962)","(0)","(Male)","2006","Digital cinema",NA,"Purchase from the Artist","F2013.34","Video","Film",2013-05-02,"Y",169677,"http://www.moma.org/collection/works/169677","http://www.moma.org/media/W1siZiIsIjMyMzE2NCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=1cbdfbf86b77fc5b",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Untitled","Francis Alÿs","8383","(Belgian, born 1959)","(Belgian)","(1959)","(0)","(Male)",NA,"Newspaper clipping","Sheet: 6 1/4 x 4 1/4"" (15.9 x 10.8 cm)","Gift of The Speyer Family Foundation, Kathy and Richard S. Fuld, Jr., Marie-Josée and Henry R. Kravis, Patricia Phelps de Cisneros, Anna Marie and Robert F. Shapiro, Julia Stoschek Foundation, Düsseldorf, and Committee on Media Funds","209.2007.27","Ephemera","Media and Performance",NA,"Y",134958,"http://www.moma.org/collection/works/134958","http://www.moma.org/media/W1siZiIsIjE4NDA3MCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=78b95abe9a632f82",NA,NA,NA,15.8750317501,NA,NA,10.79502159,NA,NA
"Dense Network (Le Réseau serré) from the portfolio Textures from Phenomena (Les Phénomènes)","Jean Dubuffet","1633","(French, 1901–1985)","(French)","(1901)","(1985)","(Male)","1959","One from a portfolio of eighteen lithographs","composition: 17 15/16 x 13 7/8"" (45.5 x 35.3 cm); sheet: 25 x 17 3/4"" (63.5 x 45.1 cm)","Gift of Mr. and Mrs. Ralph F. Colin","732.1965.7","Print","Drawings & Prints",1965-11-09,"Y",143562,"http://www.moma.org/collection/works/143562","http://www.moma.org/media/W1siZiIsIjIwNTI5MiJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=fa970cbb94aa7ab0",NA,NA,NA,45.5,NA,NA,35.3,NA,NA
"In-text plate (folio 27) from INTO THE NIGHT LIFE","Bezalel Schatz","5207","(Israeli, born 1913)","(Israeli)","(1913)","(0)","(Male)","1945-1947","Screenprint, printed in color","irreg. composition  4 13/16 x 4 9/16"" (12.3 x 11.6 cm)","The Louis E. Stern Collection","1050.1964.34","Illustrated Book","Drawings & Prints",1964-10-06,"N",30726,NA,NA,NA,NA,NA,12.3,NA,NA,11.6,NA,NA
"The Museum of Modern Art, New York","Henri Cartier-Bresson","1000","(French, 1908–2004)","(French)","(1908)","(2004)","(Male)","1964","Gelatin silver print, printed 1968","15 1/4 × 10 1/4"" (38.7 × 26 cm)","Gift of the artist","208.2009","Photograph","Photography",2009-02-09,"Y",87273,"http://www.moma.org/collection/works/87273","http://www.moma.org/media/W1siZiIsIjE1MzM0OSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=b1c97a0ad1dd9adc",NA,NA,NA,38.7,NA,NA,26,NA,NA
"Weight of the Earth, Part I","David Wojnarowicz","6623","(American, 1954–1992)","(American)","(1954)","(1992)","(Male)","1988","Fourteen gelatin silver prints and one watercolor on paper","Overall 39 × 41 1/4"" (99.1 × 104.8 cm)","The Family of Man Fund","346.1991.a-n","Photograph","Photography",1991-10-25,"Y",51390,"http://www.moma.org/collection/works/51390","http://www.moma.org/media/W1siZiIsIjMxNDM2OCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=8b01d5d3631e817d",NA,NA,NA,99.1,NA,NA,104.8,NA,NA
"Full from Homage to the Square: Ten Works by Josef Albers","Josef Albers","97","(American, born Germany. 1888–1976)","(American)","(1888)","(1976)","(Male)","1962","One from a portfolio of ten screenprints","composition: 11 1/16 x 11"" (28.1 x 27.9 cm); sheet: 16 15/16 x 16 7/8"" (43 x 42.9 cm)","Transferred from the Library Collection to the Museum Collection","697.1993.6","Print","Drawings & Prints",1993-12-17,"Y",90992,"http://www.moma.org/collection/works/90992","http://www.moma.org/media/W1siZiIsIjY4OTYzIl0sWyJwIiwiY29udmVydCIsIi1yZXNpemUgMzAweDMwMFx1MDAzZSJdXQ.jpg?sha=7e9aff6397c54006",NA,NA,NA,28.0988,NA,NA,27.9401,NA,NA
"Danger Music No. 24","Dick Higgins","2637","(American, born England. 1938–1998)","(American)","(1938)","(1998)","(Male)","1962","Typewriting and ballpoint pen on index card","sheet: 2 15/16 x 4 15/16"" (7.5 x 12.5 cm)","The Gilbert and Lila Silverman Fluxus Collection Gift","3118.2008","Print","Drawings & Prints",2008-10-08,"Y",131340,"http://www.moma.org/collection/works/131340","http://www.moma.org/media/W1siZiIsIjI3ODkyMCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=7c2a1a5fdd499dbe",NA,3.8,NA,37.2,NA,NA,47.4,NA,NA
"Postal Dossier (Dossier postale)","Alighiero Boetti","630","(Italian, 1940–1994)","(Italian)","(1940)","(1994)","(Male)","1969-70","Paperboard folder containing photocopies","folder: 13 3/4 x 9 13/16"" (35 x 25 cm)","Gift of Sperone Westwater","1268.2012.74","Print","Drawings & Prints",2012-10-03,"N",167372,NA,NA,NA,0,NA,35,NA,NA,25,NA,NA
