"","Title","Artist","ConstituentID","ArtistBio","Nationality","BeginDate","EndDate","Gender","Date","Medium","Dimensions","CreditLine","AccessionNumber","Classification","Department","DateAcquired","Cataloged","ObjectID","URL","ThumbnailURL","Circumference..cm.","Depth..cm.","Diameter..cm.","Height..cm.","Length..cm.","Weight..kg.","Width..cm.","Seat.Height..cm.","Duration..sec.."
"75661","Untitled","Jesús Rafael Soto","5535","(Venezuelan, 1923–2005)","(Venezuelan)","(1923)","(2005)","(Male)","1959","Tempera on wood with painted wire","9 1/2  x 7 1/2 x 5 5/8"" (24 x 19 x 14.1 cm)","Gift of Philip Johnson","796.1969","Sculpture","Painting & Sculpture","1969-10-07","Y",81878,"http://www.moma.org/collection/works/81878","http://www.moma.org/media/W1siZiIsIjIzMDU1MiJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=f6f389704a0448b4",NA,14.3,NA,24.1,NA,0.1984,19,NA,NA
"10557","Untitled (in-text plate, page 19) from  Die Samländische Ode (The Samland Ode)","Max Pechstein","4533","(German, 1881–1955)","(German)","(1881)","(1955)","(Male)","1918 (executed 1917)","Lithograph from an illustrated book with twenty one lithographs","composition (irreg.): 6 5/16 x 10 1/8"" (16 x 25.7 cm); page: 20 1/16 x 14 7/8"" (51 x 37.8 cm)","Gift of R. Kirk Askew, Jr.","145.1945.11","Illustrated Book","Prints & Illustrated Books","1945-04-26","Y",11729,"http://www.moma.org/collection/works/11729","http://www.moma.org/media/W1siZiIsIjEzODg0OSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=7028e0c3c7b0baf9",NA,NA,NA,16,NA,NA,25.7,NA,NA
"26501","Headpiece (page 33) from LIVRET DE FOLASTRIES, À JANOT PARISIEN","Aristide Maillol","3697","(French, 1861–1944)","(French)","(1861)","(1944)","(Male)","1927-1940",NA,"irreg. composition  3 1/4 x 2 15/16"" (8.2 x 7.4 cm)","The Louis E. Stern Collection","905.1964.9","Illustrated Book","Prints & Illustrated Books","1964-10-06","N",27874,NA,NA,NA,NA,NA,8.2,NA,NA,7.4,NA,NA
"86977","From Hardware to Softform, project, Taxonomy Variations 2","Winka Dubbeldam","29620","(Dutch, born 1966)","(Dutch)","(1966)","(0)","(Female)","2002","Digital lambda print laminated on acrylic","42 x 42"" (106.7 x 106.7 cm)","Gift of Clarissa Alcock Bronfman and Frederieke Taylor","824.2005","Architecture","Architecture & Design","2005-10-18","Y",100432,"http://www.moma.org/collection/works/100432",NA,NA,NA,NA,106.6802,NA,NA,106.6802,NA,NA
"25467","Sava peremozhets'. Kazka","Oleksii Marenkov","24365",NA,"()","(0)","(0)","(Male)","1928",NA,"Page: 8 15/16 x 10 1/8"" (22.7 x 25.7 cm)","Gift of The Judith Rothschild Foundation","871.2001","Illustrated Book","Prints & Illustrated Books","2001-01-24","N",26840,NA,NA,NA,NA,NA,22.7,NA,NA,25.7,NA,NA
"61193","Dressing for Church","Walter Richard Sickert","5414","(British, 1860–1942)","(British)","(1860)","(1942)","(Male)","(c. 1910-1915)","Etching","plate: 6 7/8 x 4 7/8"" (17.5 x 12.4 cm); sheet: 10 5/8 x 8 3/8"" (27 x 21.3 cm)","Abby Aldrich Rockefeller Fund","253.1963","Print","Prints & Illustrated Books","1963-04-09","Y",65295,"http://www.moma.org/collection/works/65295","http://www.moma.org/media/W1siZiIsIjE5MjI5OCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=f63dfbcc4c29b9ec",NA,NA,NA,17.5,NA,NA,12.4,NA,NA
"3030","Wainscoting Material","Gunta Stölzl","5675","(Swiss, born Germany. 1897–1983)","(Swiss)","(1897)","(1983)","(Female)","1939","Jute and cellophane","11 1/2 x 11 3/4"" (29.2 x 29.8 cm)","Gift of Jack Lenor Larsen","477.1970.26","Design","Architecture & Design","1970-11-05","Y",4005,"http://www.moma.org/collection/works/4005","http://www.moma.org/media/W1siZiIsIjc0NDUiXSxbInAiLCJjb252ZXJ0IiwiLXJlc2l6ZSAzMDB4MzAwXHUwMDNlIl1d.jpg?sha=8e9cbaf7353f250a",NA,NA,NA,29.2,NA,NA,29.8,NA,NA
"86051","A Person to Meet in the New Year","Ryoko Aoki","28546","(Japanese, born 1973)","(Japanese)","(1973)","(0)","(Female)","(2003)","Ink on paper","5 3/4 x 4 1/4"" (14.6 x 10.8 cm)","The Judith Rothschild Foundation Contemporary Drawings Collection Gift","1160.2005","Drawing","Drawings","2005-05-10","Y",97886,"http://www.moma.org/collection/works/97886","http://www.moma.org/media/W1siZiIsIjExMTM5NCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=143273efe3da55cb",NA,NA,NA,14.605,NA,NA,10.795,NA,NA
"26714","In-text plate (page 99) from L'ÉVANGILE","Léo Marchutz","3753","(French, 1903–1976)","(French)","(1903)","(1976)","(Male)","1947-1949",NA,"irreg. composition  6 1/8 x 6 1/2"" (15.5 x 16.5 cm)","The Louis E. Stern Collection","912.1964.83","Illustrated Book","Prints & Illustrated Books","1964-10-06","N",28087,NA,NA,NA,NA,NA,15.5,NA,NA,16.5,NA,NA
"110112","Citta' di Torino from Insicuro Noncurante","Alighiero Boetti","630","(Italian, 1940–1994)","(Italian)","(1940)","(1994)","(Male)","1966-75","One from a portfolio of eighty two mixed media prints","each: 21 5/8 x 17 11/16"" (55 x 45 cm)","Committee on Prints and Illustrated Books Fund with support from Marie-Josée and Henry R. Kravis","898.2010.12","Print","Prints & Illustrated Books","2010-11-10","Y",156979,"http://www.moma.org/collection/works/156979","http://www.moma.org/media/W1siZiIsIjIzOTA0MyJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=f2d1c79287475d4b",NA,NA,NA,55,NA,NA,45,NA,NA
"119092","I Scattered on a Prague Street a Great Amount of Papers from Performance Files","Milan Knížák","29427","(Czech, born 1940)","(Czech)","(1940)","(0)","(Male)","1965","Two photocopies",NA,"The Gilbert and Lila Silverman Fluxus Collection Gift","3160.2008.15a-b","Print","Prints & Illustrated Books","2008-10-08","Y",178928,"http://www.moma.org/collection/works/178928","http://www.moma.org/media/W1siZiIsIjI5NDEyNCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=a92b3e31b8afcad6",NA,0,NA,0,NA,NA,0,NA,NA
"1268","Suit Material","Gunta Stölzl","5675","(Swiss, born Germany. 1897–1983)","(Swiss)","(1897)","(1983)","(Female)","c.1925-28","Wool, rayon, and cotton","11 1/2 x 7 3/4"" (29.2 x 19.7 cm)","Phyllis B. Lambert Fund","76.1958.11","Design","Architecture & Design","1958-02-19","Y",2005,"http://www.moma.org/collection/works/2005","http://www.moma.org/media/W1siZiIsIjE0NDEiXSxbInAiLCJjb252ZXJ0IiwiLXJlc2l6ZSAzMDB4MzAwXHUwMDNlIl1d.jpg?sha=1f1877e72ea78444",NA,NA,NA,NA,29.2,NA,19.7,NA,NA
"93693","2nd Street & 2nd Avenue, from 19 Rainstorms","Neil Goldberg","34883","(American, born 1963)","(American)","(1963)","(0)","(Male)","1998-2003","Video (color, sound)","9:19 min.","Purchase","3506.2005.2","Video","Media and Performance Art","2005-07-15","Y",118617,"http://www.moma.org/collection/works/118617","http://www.moma.org/media/W1siZiIsIjIyMDU3NiJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=ae4efc0e5fefbe92",NA,NA,NA,NA,NA,NA,NA,NA,559
"26111","HYLAS DISAPPEARS IN A FOUNTAIN (in-text plate, page 60) from LES ÉGLOGUES","Aristide Maillol","3697","(French, 1861–1944)","(French)","(1861)","(1944)","(Male)","1912-1926",NA,"composition  3 5/8 x 3 15/16"" (9.2 x 10.1 cm)","The Louis E. Stern Collection","899.1964.25","Illustrated Book","Prints & Illustrated Books","1964-10-06","N",27484,NA,NA,NA,NA,NA,9.2,NA,NA,10.1,NA,NA
"79260","Countess Naryshkina, Count Vladimir Fredericks and Members of His Majesty's Personal Escort, Kronstadt","Unknown photographer","8595",NA,"()","(0)","(0)","()","July 2, 1909","Gelatin silver printing-out-paper print","3 7/16 x 11 5/16"" (8.8 x 28.8 cm)","Acquired through the generosity of Howard Stein","483.2011.109","Photograph","Photography","2001-06-14","Y",86458,"http://www.moma.org/collection/works/86458",NA,NA,NA,NA,8.8,NA,NA,28.8,NA,NA
"66367","Wrestlers","Henri Gaudier-Brzeska","2097","(French, 1891–1915)","(French)","(1891)","(1915)","(Male)","1914","Linoleum cut","composition (irreg.): 8 7/8 x 11"" (22.6 x 28 cm); sheet: 10 5/8 x 15 3/16"" (27 x 38.5 cm)","William K. Simpson Fund in memory of Abby Aldrich Rockefeller","552.1983","Print","Prints & Illustrated Books","1983-05-25","Y",71006,"http://www.moma.org/collection/works/71006","http://www.moma.org/media/W1siZiIsIjE2MzQ5NiJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=0309eb395b018847",NA,NA,NA,22.6,NA,NA,28,NA,NA
"40483","RUE FREDERIC SAUTON","Eugène Atget","229","(French, 1857–1927)","(French)","(1857)","(1927)","(Male)","1924","Matte albumen silver print",NA,"Abbott-Levy Collection. Partial gift of Shirley C. Burden","1.1969.4874","Photograph","Photography","1968-03-06","N",43183,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"86166","Stop Thief! Bentwood Chair Clone, from the Smart Antitheft Furniture Range (Prototype)","Jackie Piper, Marcus Willcocks, Lorraine Gamman, Design Against Crime Research Initiative, Central Saint Martins College of Art and Design","27776, 27777, 29073, 27778","(American, born UK 1968) (British, born 1977) (British, born 1957) (UK, est. 2000)","(American) (British) (British) (British)","(1968) (1977) (1957) (2000)","(0) (0) (0) (0)","() (Male) (Female) ()","2000","Wood","34 1/2 x 16 1/8 x 20 7/8"" (87.5 x 41 x 53 cm)","Artur Walther Purchase Fund","158.2006","Design","Architecture & Design","2006-02-09","Y",98087,"http://www.moma.org/collection/works/98087","http://www.moma.org/media/W1siZiIsIjk0ODA2Il0sWyJwIiwiY29udmVydCIsIi1yZXNpemUgMzAweDMwMFx1MDAzZSJdXQ.jpg?sha=01814e7b809ff1da",NA,53,NA,87.5,NA,NA,41,NA,NA
"127413","Rosenwald Foundation School, project, La Jolla, CA","Frank Lloyd Wright","6459","(American, 1867–1959)","(American)","(1867)","(1959)","(Male)","1928","Drawing",NA,"The Frank Lloyd Wright Foundation Archives (The Museum of Modern Art | Avery Architectural & Fine Arts Library, Columbia University, New York)","FLW.DR.2904.002","Frank Lloyd Wright Archive","Architecture & Design",NA,"N",201158,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26050","Patriotic propaganda postcards with verse by Vladimir Mayakovsky","Kazimir Malevich","3710","(Russian, born Ukraine. 1878–1935)","(Russian)","(1878)","(1935)","(Male)","1914","6 postcards with lithographed illustrations","Sheet: 5 9/16 x 3 9/16"" (14.2 x 9 cm) (each)","Gift of The Judith Rothschild Foundation","896.2001.1-6","Illustrated Book","Prints & Illustrated Books","2001-01-24","N",27423,NA,NA,NA,NA,NA,14.2,NA,NA,9,NA,NA
"29511","AT THE EDGE OF THE VERRIÈRES WOODS (plate; volume I, page 25) from LES GÉORGIQUES (GEORGICA)","André Dunoyer de Segonzac","5318","(French, 1884–1974)","(French)","(1884)","(1974)","(Male)","1933-1947","Etching, printed in black","plate  11 1/2 x 9 5/8"" (29.2 x 24.4 cm)","The Louis E. Stern Collection","1055.1964.A10","Illustrated Book","Prints & Illustrated Books","1964-10-06","N",30885,NA,NA,NA,NA,NA,29.2,NA,NA,24.4,NA,NA
"121533","Windows","Jan Dibbets","1533","(Dutch, born 1941)","(Dutch)","(1941)","(0)","(Male)","1973","Chromogenic color print","8 9/16 x 11 3/16"" (21.7 x 28.4 cm)
","Anonymous gift","221.2014.397","Photograph","Photography","2014-05-08","N",185640,NA,NA,NA,NA,NA,21.7487934976,NA,NA,28.4163068326,NA,NA
"37140","Pont Marie","Eugène Atget","229","(French, 1857–1927)","(French)","(1857)","(1927)","(Male)","Avril 1926","Gelatin silver printing-out-paper print",NA,"Abbott-Levy Collection. Partial gift of Shirley C. Burden","1.1969.1818","Photograph","Photography","1968-03-06","N",39789,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"100899","Untitled (Study for Untitled, plate 1 of 14, from the portfolio, Autobiographical Series)","Louise Bourgeois","710","(American, born France. 1911–2010)","(American)","(1911)","(2010)","(Female)","1993","Photocopy, with hand additions","sheet: 16 5/8 x 11"" (42.3 x 28 cm)","Gift of the artist","462.2010","Print","Prints & Illustrated Books","2010-06-09","Y",136107,"http://www.moma.org/collection/works/136107","http://www.moma.org/media/W1siZiIsIjE5OTg2NSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=07df115e9f89dfe7",NA,NA,NA,42.3,NA,NA,28,NA,NA
"79086","Transcendence, design for the ballet","Franklin Chenault Watkins","6261","(American, 1894–1972)","(American)","(1894)","(1972)","(Male)","(1934)","Watercolor on paper","15 1/4 x 11 1/4"" (38.7 x 28.6 cm)","Acquired through the Lillie P. Bliss Bequest","38.1942.7","Drawing","Drawings","1942-01-27","Y",86213,"http://www.moma.org/collection/works/86213",NA,NA,NA,NA,38.7351,NA,NA,28.5751,NA,NA
"28324","Page 88 from the illustrated book Le Chant des Morts","Pablo Picasso","4609","(Spanish, 1881–1973)","(Spanish)","(1881)","(1973)","(Male)","1946-48, published 1948","Lithograph","composition (irreg.): 15 3/4 x 11 3/4"" (40 x 29.8 cm); page: 16 9/16 x 12 5/8"" (42 x 32 cm)","The Louis E. Stern Collection","990.1964.87","Illustrated Book","Prints & Illustrated Books","1964-10-06","Y",29697,"http://www.moma.org/collection/works/29697","http://www.moma.org/media/W1siZiIsIjE3NDE5OCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=da5bf21d62e2a2ff",NA,NA,NA,40,NA,NA,29.8,NA,NA
"97017","Your Name Spelled with Objects: Jon Hendricks","George Maciunas","21398","(American, born Lithuania. 1931–1978)","(American)","(1931)","(1978)","(Male)","c. 1976","Plastic box containing offset card and objects in various media","overall (closed): 3 15/16 x 4 5/8 x 1 7/8"" (10 x 11.8 x 4.8 cm)","The Gilbert and Lila Silverman Fluxus Collection Gift","2521.2008","Multiple","Prints & Illustrated Books","2008-10-08","Y",127936,"http://www.moma.org/collection/works/127936","http://www.moma.org/media/W1siZiIsIjMxMTk5NSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=a9e1507f56f1fc7d",NA,4.8,NA,10,NA,NA,11.8,NA,NA
"22332","Plate (facing page 66) from ALLO! PARIS!","Robert Delaunay","1479","(French, 1885–1941)","(French)","(1885)","(1941)","(Male)","1924-1926",NA,"irreg. composition  6 3/4 x 6 1/4"" (17.2 x 15.9 cm)","The Louis E. Stern Collection","778.1964.11","Illustrated Book","Prints & Illustrated Books","1964-10-06","N",23704,NA,NA,NA,NA,NA,17.2,NA,NA,15.9,NA,NA
"37241","PORT DU LOUVRE","Eugène Atget","229","(French, 1857–1927)","(French)","(1857)","(1927)","(Male)","1911","Albumen silver print",NA,"Abbott-Levy Collection. Partial gift of Shirley C. Burden","1.1969.1909","Photograph","Photography","1968-03-06","N",39890,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11946","128 details from a picture: Halifax 1978/Gerhard Richter","Gerhard Richter","4907","(German, born 1932)","(German)","(1932)","(0)","(Male)","1998","Artist's book","page  6 5/16 x 9 1/4"" (16 x 23.5 cm)","Walter Bareiss Fund","184.1999","Illustrated Book","Prints & Illustrated Books","1999-05-20","Y",13131,"http://www.moma.org/collection/works/13131",NA,NA,NA,NA,16,NA,NA,23.5,NA,NA
"58773","Rust Solvent (Liquid Wrench) from Stains","Edward Ruscha","5086","(American, born 1937)","(American)","(1937)","(0)","(Male)","1969","One from a portfolio of 76 mixed media stains","composition (irreg.): 1 1/2 x 1"" (3.8 x 2.6cm); sheet: 11 7/8 x 10 3/4"" (30.2 x 27.3 cm)","Gift of Iolas Gallery","137.1970.15","Print","Prints & Illustrated Books","1970-03-05","Y",62655,"http://www.moma.org/collection/works/62655","http://www.moma.org/media/W1siZiIsIjEyODMwMyJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=8fe85b19a3dcc6e0",NA,NA,NA,3.8,NA,NA,2.6,NA,NA
"54324","UNTITLED (Seated and Moving Figures)","William Betsch","537","(American)","(American)","(0)","(0)","(Male)","March 1, 1979","Gelatin silver print","15 x 11"" (38.2 x 28.0 cm)","The Family of Man Fund","1003.1979","Photograph","Photography","1979-10-11","N",57467,NA,NA,NA,NA,NA,38.2,NA,NA,28,NA,NA
"112137","Poster of the French National Railroad","Album-miscellaneous","101","(Various)","(Various)","(0)","(0)","()","1900-1943",NA,NA,"Gift of the French National Railroads","65.1943.59","Design","Architecture & Design","1943-02-18","N",162880,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"58560","Second Sails (To James Abbott McNeill Whistler)","Dan Flavin","1911","(American, 1933–1996)","(American)","(1933)","(1996)","(Male)","1978","Portfolio of eight drypoints","plate (each): 4 x 6"" (10.2 x 15.2 cm); sheet (each): 11 1/4 x 15"" (28.6 x 38.1 cm)","Gift of Crown Point Press in celebration of its 25th anniversary","130.1987.1-8","Print","Prints & Illustrated Books","1987-05-14","N",62434,NA,NA,NA,NA,NA,10.16002032,NA,NA,15.2400304801,NA,NA
"74161","Optical Number 9","Harold Barling Town","5913","(Canadian, 1924–1991)","(Canadian)","(1924)","(1991)","(Male)","1964","Oil and synthetic polymer paint on canvas","60 x 60"" (152.5 x 152.5 cm)","Gift of J. G. McClelland","507.1965","Painting","Painting & Sculpture","1965-06-08","Y",79867,"http://www.moma.org/collection/works/79867","http://www.moma.org/media/W1siZiIsIjMzOTE0NCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=b6a75017f4de1030",NA,NA,NA,152.5,NA,NA,152.5,NA,NA
"44178","Untitled","Terry Husebye","2780","(American, born 1945)","(American)","(1945)","(0)","(Male)","1979","Chromogenic color print","17 x 17"" (43.1 x 43.1 cm)","Gift of the photographer","157.1982","Photograph","Photography","1982-05-13","Y",47012,"http://www.moma.org/collection/works/47012","http://www.moma.org/media/W1siZiIsIjI0MDYxMyJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=875233b9dbf835c2",NA,NA,NA,43.1,NA,NA,43.1,NA,NA
"38892","LONGPONT. ÉGLISE XVe SIÈCLE","Eugène Atget","229","(French, 1857–1927)","(French)","(1857)","(1927)","(Male)","1902","Albumen silver print",NA,"Abbott-Levy Collection. Partial gift of Shirley C. Burden","1.1969.3396","Photograph","Photography","1968-03-06","N",41542,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"55484","Morning of Bobby Sands' Death, Ballymurphy, Belfast","Gilles Peress","4554","(French, born 1946)","(French)","(1946)","(0)","(Male)","May 5, 1981","Gelatin silver print, printed 1996","7 1/2 x 9 7/16"" (19 x 24 cm)","The New York Times Collection","2073.2001","Photograph","Photography","2001-06-14","Y",58666,"http://www.moma.org/collection/works/58666","http://www.moma.org/media/W1siZiIsIjI0MDY2OCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=e30f054409c6f4f8",NA,NA,NA,19,NA,NA,24,NA,NA
"42233","Untitled, from a unique album titled ""Photographs by Rudolph Burckhardt; Sonnet by Edwin Denby""","Rudy Burckhardt","7653","(American, born Switzerland. 1914–1999)","(American)","(1914)","(1999)","(Male)","1946-47","Gelatin silver print","4 5/8 x 7 1/8"" (11.8 x 18.1 cm)","Gift of CameraWorks, Inc. and Purchase","51.1993.20","Photograph","Photography","1993-03-11","N",44974,NA,NA,NA,NA,NA,11.8,NA,NA,18.1,NA,NA
"125780","Futurismo letterhead (Letter from Somenzi)","Unknown Designer","6016","(Italian)","(Italian)","(0)","(0)","()","1933","Letterpress","11 1/8 × 8 3/4"" (28.3 × 22.2 cm)","Elaine Lustig Cohen Collection, Gift of Lawrence Benenson and the Committee on Architecture and Design Funds","1467.2015","Design","Architecture & Design","2015-10-19","Y",198568,"http://www.moma.org/collection/works/198568","http://www.moma.org/media/W1siZiIsIjM0MzI2MyJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=88cef5a96b1d406a",NA,NA,NA,28.2575565151,NA,NA,22.2250444501,NA,NA
"21968","Plate (folio 30) from LE BESTIAIRE","Roger Chastel","1081","(French, 1897–1981)","(French)","(1897)","(1981)","(Male)","1948","Soft ground etching, printed in color","irreg. composition  13 3/16 x 10 1/8"" (33.5 x 25.7 cm)","The Louis E. Stern Collection","762.1964.25","Illustrated Book","Prints & Illustrated Books","1964-10-06","N",23339,NA,NA,NA,NA,NA,33.5,NA,NA,25.7,NA,NA
"49680","Orangutan","Garry Winogrand","6399","(American, 1928–1984)","(American)","(1928)","(1984)","(Male)","c. 1963","Gelatin silver print","8 13/16 x 13 1/8"" (22.4 x 33.4 cm)","Purchase and gift of Barbara Schwartz in memory of Eugene M. Schwartz","404.1998","Photograph","Photography","1998-06-11","N",52715,NA,NA,NA,NA,NA,22.4,NA,NA,33.4,NA,NA
"116067","O Jardim do Outro Homem (Another Man's Garden)","João Luis Sol de Carvalho","43624","(Mozambican, born 1953)","(Mozambican)","(1953)","(0)","(Male)","2006","35mm film",NA,"Gift of Global Film Initiative","F2013.163","Film","Film","2013-05-02","N",169881,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3807","New Year (Wrigley's)","Otis Shepard","5390","(American, 1894–1969)","(American)","(1894)","(1969)","(Male)","1900-1936","Lithograph","28 x 42"" (71.1 x 106.7cm)","Gift of the William Wrigley, Jr. Company","58.1936","Design","Architecture & Design","1936-05-20","N",4883,NA,NA,NA,NA,NA,71.1,NA,NA,106.7,NA,NA
"29549","GRAPE HARVESTING AT COGOLIN (plate; volume I, page 167) from LES GÉORGIQUES (GEORGICA)","André Dunoyer de Segonzac","5318","(French, 1884–1974)","(French)","(1884)","(1974)","(Male)","1933-1947","Etching and drypoint, printed in black","plate  11 1/2 x 9 5/8"" (29.3 x 24.5 cm)","The Louis E. Stern Collection","1055.1964.A48","Illustrated Book","Prints & Illustrated Books","1964-10-06","N",30923,NA,NA,NA,NA,NA,29.3,NA,NA,24.5,NA,NA
"75368","Headless Naked Figure Study for Balzac","Auguste Rodin","4978","(French, 1840–1917)","(French)","(1840)","(1917)","(Male)","1896 (cast 1970)","Bronze","39 x 15 1/4 x 12 1/2"" (99 x 38.6 x 32 cm)","Gift of The Cantor, Fitzgerald Collection","436.1975","Sculpture","Painting & Sculpture","1976-10-12","Y",81472,"http://www.moma.org/collection/works/81472","http://www.moma.org/media/W1siZiIsIjIxMTM0NyJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=1b03737e51255ada",NA,30.8,NA,5.4,NA,NA,38.4,NA,NA
"55593","""The Tragic End of 13,500 Miles of Air Travel""","Times Wide World Photos","8632","(American, active 1919–1941)","(American)","(1919)","(1941)","()","May 1937","Gelatin silver print","6 5/8 x 8 5/8"" (16.9 x 21.9 cm)","The New York Times Collection","2182.2001","Photograph","Photography","2001-06-14","Y",58775,"http://www.moma.org/collection/works/58775","http://www.moma.org/media/W1siZiIsIjIxODk1NCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=8b1cbc094db4ce69",NA,NA,NA,16.9,NA,NA,21.9,NA,NA
"95770","Charlie and the Chocolate Factory","Unknown Artist","23390","(Nationality Unknown)","(Nationality Unknown)","(0)","(0)","()","2005","Poster","40 x 27"" (101.6 x 68.6 cm)","The Museum of Modern Art, New York. Film Study Collection","F2147","Work on Paper","Film",NA,"N",124685,NA,NA,NA,NA,NA,101.6002032004,NA,NA,68.5801371603,NA,NA
"30163","STAIRCASE, NAPLES, plate XIII (page 55) from A BOOK OF TOWERS AND OTHER BUILDINGS OF SOUTHERN EUROPE","Richard Wyndham","6468","(British, 1896–1948)","(British)","(1896)","(1948)","(Male)","1928",NA,"plate  7 9/16 x 4 15/16"" (19.3 x 12.6 cm)","The Louis E. Stern Collection","1095.1964.15","Illustrated Book","Prints & Illustrated Books","1964-10-06","N",31537,NA,NA,NA,NA,NA,19.3,NA,NA,12.6,NA,NA
"56879","""you hoo--little boy""","Jim Nutt","4348","(American, born 1938)","(American)","(1938)","(0)","(Male)","(1977)","Etching, printed in color","plate  3 15/16 x 4 5/16"" (10 x 11 cm)
irreg sheet  14 1/2 x 13 1/16"" (36.8 x 33.2 cm)","John B. Turner Fund","36.1979","Print","Prints & Illustrated Books","1979-01-23","Y",60599,"http://www.moma.org/collection/works/60599","http://www.moma.org/media/W1siZiIsIjE5MDE0OSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=07ec7e80aa9e3c6e",NA,NA,NA,10,NA,NA,11,NA,NA
"58969","Les Trois Fées","Louise Bourgeois","710","(American, born France. 1911–2010)","(American)","(1911)","(2010)","(Female)","1948","Engraving and monotype, with hand additions","plate: 6 13/16 x 5 7/16"" (17.3 x 13.8 cm); sheet: 9 11/16 x 7 3/8"" (24 x 18.8 cm)","Gift of the artist","141.1990.1","Print","Prints & Illustrated Books","1990-05-02","Y",62857,"http://www.moma.org/collection/works/62857","http://www.moma.org/media/W1siZiIsIjIxMDQyNiJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=bec9d841d178c724",NA,NA,NA,17.3,NA,NA,13.8,NA,NA
"96755","One for Violin, performed during Neo-Dada in der Musik, Kammerspiele, Düsseldorf, June 16, 1962","Nam June Paik","4469","(American, born Korea. 1932–2006)","(American)","(1932)","(2006)","(Male)","1962","Gelatin silver print","image: 5 1/2 x 8 7/8"" (14 x 22.5 cm); sheet: 8 1/16 x 9 15/16"" (20.4 x 25.3 cm)","The Gilbert and Lila Silverman Fluxus Collection Gift","2617.2008","Photograph","Prints & Illustrated Books","2008-10-08","N",127503,NA,NA,NA,NA,NA,14,NA,NA,22.5,NA,NA
"47514","Nude","Lee Friedlander","2002","(American, born 1934)","(American)","(1934)","(0)","(Male)","1978","Gelatin silver print","12 3/8 x 18 9/16"" (31.4 x 47.1 cm)","Gift of the photographer in memory of Nicky Balter","310.1991","Photograph","Photography","1991-10-25","N",50479,NA,NA,NA,NA,NA,31.4,NA,NA,47.1,NA,NA
"4182","Help (Poster for the American Red Cross)","John Mills","3992","(American, 1842–1916)","(American)","(1842)","(1916)","(Male)","1914–1918","Lithograph","28 x 21 3/4"" (71.1 x 55.2 cm)","Given anonymously in memory of Mrs. Alice Lillia Newhall","149.1943","Design","Architecture & Design","1940-09-30","Y",5281,"http://www.moma.org/collection/works/5281",NA,NA,0,NA,71.1201422403,NA,NA,55.2451104902,NA,NA
